# Force and moment coefficients
# dragDir           : (1.000000000000e+00 0.000000000000e+00 0.000000000000e+00)
# sideDir           : (0.000000000000e+00 1.000000000000e+00 0.000000000000e+00)
# liftDir           : (0.000000000000e+00 0.000000000000e+00 1.000000000000e+00)
# rollAxis          : (1.000000000000e+00 0.000000000000e+00 0.000000000000e+00)
# pitchAxis         : (0.000000000000e+00 1.000000000000e+00 0.000000000000e+00)
# yawAxis           : (0.000000000000e+00 0.000000000000e+00 1.000000000000e+00)
# magUInf           : 4.000000000000e+01
# lRef              : 1.044000000000e+00
# Aref              : 1.120000000000e-01
# CofR              : (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)
#
# Time              	Cd                  	Cd(f)               	Cd(r)               	Cl                  	Cl(f)               	Cl(r)               	CmPitch             	CmRoll              	CmYaw               	Cs                  	Cs(f)               	Cs(r)               
552                 	3.603244135388e-01	1.803028396796e-01	1.800215738592e-01	4.520664205317e-01	-4.554445253209e-02	4.976108730638e-01	-2.715776627979e-01	1.406329102259e-04	-3.363842162393e-04	2.532977477547e-03	9.301045225344e-04	1.602872955013e-03
553                 	3.589607659555e-01	1.792595417731e-01	1.797012241824e-01	4.733586899461e-01	-5.328362639410e-02	5.266423163402e-01	-2.899629713672e-01	-2.208412046485e-04	-2.031221879810e-03	-3.552946092080e-03	-3.807694925850e-03	2.547488337701e-04
554                 	3.586995999970e-01	1.788078413196e-01	1.798917586774e-01	4.957508768963e-01	-6.044728043905e-02	5.561981573354e-01	-3.083227188872e-01	-5.419586789304e-04	-2.448937300071e-03	-6.942089011939e-03	-5.919981806041e-03	-1.022107205898e-03
555                 	3.609191718788e-01	1.797062133038e-01	1.812129585750e-01	5.172216409225e-01	-6.668995564982e-02	5.839115965723e-01	-3.253007761110e-01	-7.533726355611e-04	-1.960737642399e-03	-7.362913029981e-03	-5.642194157389e-03	-1.720718872591e-03
556                 	3.657371096641e-01	1.820732095827e-01	1.836639000814e-01	5.346833324444e-01	-7.198647558216e-02	6.066698080266e-01	-3.393281418044e-01	-7.953452493477e-04	-1.531662874206e-03	-6.361823275377e-03	-4.712574511894e-03	-1.649248763482e-03
557                 	3.719362459864e-01	1.853286370128e-01	1.866076089737e-01	5.429409918000e-01	-7.544660927289e-02	6.183876010729e-01	-3.469171051729e-01	-6.394859804357e-04	-1.583004396898e-03	-5.317256317451e-03	-4.241632555623e-03	-1.075623761828e-03
558                 	3.776095356668e-01	1.884271487578e-01	1.891823869089e-01	5.439702007274e-01	-7.644704999418e-02	6.204172507216e-01	-3.484321503579e-01	-3.776190755624e-04	-1.881318267387e-03	-4.603049373571e-03	-4.182842954173e-03	-4.202064193983e-04
559                 	3.809168252210e-01	1.903487380350e-01	1.905680871860e-01	5.394626779232e-01	-7.481834801167e-02	6.142810259349e-01	-3.445496869733e-01	-1.096745754957e-04	-1.934760371570e-03	-3.847116688678e-03	-3.858318715909e-03	1.120202723149e-05
560                 	3.813446289699e-01	1.907751349051e-01	1.905694940648e-01	5.288794579209e-01	-7.072781153483e-02	5.996072694557e-01	-3.351675404953e-01	1.028204201365e-04	-1.505642790942e-03	-2.462403024159e-03	-2.736844303021e-03	2.744412788627e-04
561                 	3.796015596603e-01	1.899848417329e-01	1.896167179273e-01	5.113678296637e-01	-6.360088777698e-02	5.749687174407e-01	-3.192848026088e-01	1.840619027937e-04	-6.109933330312e-04	1.586433662076e-06	-6.102001162002e-04	6.117865498623e-04
562                 	3.772099791646e-01	1.887319346762e-01	1.884780444883e-01	4.841150263550e-01	-5.393350498975e-02	5.380485313448e-01	-2.959910181673e-01	1.269450939624e-04	3.481712234561e-04	3.125350056299e-03	1.910846251606e-03	1.214503804694e-03
563                 	3.744388631468e-01	1.872551905530e-01	1.871836725938e-01	4.496420303768e-01	-4.243877328302e-02	4.920808036598e-01	-2.672597884714e-01	3.575897959277e-05	9.851020328009e-04	5.797345984396e-03	3.883775024999e-03	1.913570959397e-03
564                 	3.706649389321e-01	1.853114209402e-01	1.853535179919e-01	4.113743320282e-01	-2.987286931968e-02	4.412472013479e-01	-2.355600353338e-01	-2.104852583566e-05	1.163337369884e-03	6.934627675080e-03	4.630651207424e-03	2.303976467656e-03
565                 	3.652071444700e-01	1.825901721833e-01	1.826169722867e-01	3.747863706085e-01	-1.787363300160e-02	3.926600036101e-01	-2.052668183059e-01	-1.340005169876e-05	9.742717819399e-04	6.328112043105e-03	4.138327803492e-03	2.189784239612e-03
566                 	3.591196009051e-01	1.795925726820e-01	1.795270282231e-01	3.454138817797e-01	-8.071854109312e-03	3.534857358890e-01	-1.807787949992e-01	3.277222942421e-05	8.240175928523e-04	4.621547352674e-03	3.134791269190e-03	1.486756083485e-03
567                 	3.548932734172e-01	1.774506081903e-01	1.774426652269e-01	3.249525090151e-01	-1.514585149447e-03	3.264670941645e-01	-1.639908396570e-01	3.971481670241e-06	8.479124964611e-04	2.489194455092e-03	2.092509724007e-03	3.966847310851e-04
568                 	3.542834347333e-01	1.769644881718e-01	1.773189465615e-01	3.121163963422e-01	1.647608106506e-03	3.104687882357e-01	-1.544105900646e-01	-1.772291948512e-04	7.812103009578e-04	1.059904616684e-04	8.342055317920e-04	-7.282150701236e-04
569                 	3.565314291137e-01	1.778112074316e-01	1.787202216821e-01	3.069868652638e-01	1.180941738175e-03	3.058059235256e-01	-1.523124908937e-01	-4.545071252527e-04	3.949178428219e-04	-2.397039421753e-03	-8.036018680544e-04	-1.593437553698e-03
570                 	3.596590321967e-01	1.792323179383e-01	1.804267142585e-01	3.098410336686e-01	-2.037531195781e-03	3.118785648643e-01	-1.569580480301e-01	-5.971981601059e-04	-1.923813756095e-04	-4.614108376706e-03	-2.499435563963e-03	-2.114672812744e-03
571                 	3.616482519381e-01	1.803630521773e-01	1.812851997608e-01	3.209122429731e-01	-7.026933616061e-03	3.279391765891e-01	-1.674830551026e-01	-4.610737917194e-04	-2.190640711354e-04	-5.170829303041e-03	-2.804478722656e-03	-2.366350580385e-03
572                 	3.618713804518e-01	1.807592659835e-01	1.811121144683e-01	3.393561699111e-01	-1.433082556513e-02	3.536869954762e-01	-1.840089105207e-01	-1.764242423683e-04	1.049403428686e-04	-4.222234810158e-03	-2.006177062211e-03	-2.216057747948e-03
573                 	3.610315842975e-01	1.805505358914e-01	1.804810484062e-01	3.645013421907e-01	-2.300815118479e-02	3.875094933755e-01	-2.052588222801e-01	3.474374259281e-05	6.907466565941e-04	-1.930232225623e-03	-2.743694562173e-04	-1.655862769405e-03
574                 	3.602038880245e-01	1.801246225795e-01	1.800792654450e-01	3.912798166777e-01	-3.219474529834e-02	4.234745619761e-01	-2.278346536372e-01	2.267856726856e-05	1.361034295637e-03	1.147490115411e-03	1.934779353343e-03	-7.872892379311e-04
575                 	3.600667992667e-01	1.799788110748e-01	1.800879881919e-01	4.211642508263e-01	-4.012631214084e-02	4.612905629672e-01	-2.507084375540e-01	-5.458855857359e-05	2.208007606856e-03	4.831589356281e-03	4.623802284997e-03	2.077870712847e-04
576                 	3.605788625661e-01	1.802304497229e-01	1.803484128432e-01	4.552473946894e-01	-4.627044955322e-02	5.015178442427e-01	-2.738941468979e-01	-5.898156014478e-05	2.893914553166e-03	8.100942274759e-03	6.944385690545e-03	1.156556584214e-03
577                 	3.612027136538e-01	1.806614654738e-01	1.805412481799e-01	4.881403410802e-01	-5.153337967272e-02	5.396737207529e-01	-2.956035502128e-01	6.010864695640e-05	2.982579314336e-03	9.391808615640e-03	7.678483622155e-03	1.713324993484e-03
578                 	3.619580733659e-01	1.811692986220e-01	1.807887747439e-01	5.168743442602e-01	-5.640137882468e-02	5.732757230849e-01	-3.148385509548e-01	1.902619390625e-04	2.127831709672e-03	7.500109153992e-03	5.877886286668e-03	1.622222867324e-03
579                 	3.635947772433e-01	1.820638504951e-01	1.815309267482e-01	5.326820383338e-01	-6.172037940688e-02	5.944024177406e-01	-3.280613985738e-01	2.664618734871e-04	7.119931271140e-04	3.264969952179e-03	2.344478103204e-03	9.204918489755e-04
